Folder,Q1_Accuracy,Q2_Accuracy,Q3_Accuracy,Q4_Accuracy,Mean_Accuracy
baseline_prompting,53.01125082726671,51.55526141628061,68.36532097948378,78.75579086697552,62.92190602250166
omni_prompting,63.40172071475843,69.75512905360688,71.93911317008603,80.41032428855063,71.37657180675049
persona_driven_prompting,60.953011250827274,67.1078755790867,70.28457974851092,79.35142289874256,69.42422236929185
demo_prompting,40.370615486432825,51.22435473196558,67.96823295830576,78.29252150893447,59.46393117140966
