Folder,Q1_Accuracy,Q2_Accuracy,Q3_Accuracy,Q4_Accuracy,Q5_Accuracy,Q6_Accuracy,Q7_Accuracy,Q8_Accuracy,Q9_Accuracy,Q10_Accuracy,Mean_Accuracy
Baseline_prompting,82.51851851851852,82.07407407407408,75.25925925925925,84.88888888888889,44.148148148148145,37.48148148148148,47.40740740740741,42.074074074074076,50.51851851851852,49.48148148148148,59.58518518518518
Demo_prompting,80.0,78.96296296296296,55.111111111111114,84.44444444444444,33.03703703703704,38.22222222222222,41.48148148148148,38.370370370370374,37.03703703703704,38.96296296296296,52.562962962962956
Omni_prompting,86.37037037037038,85.03703703703704,85.03703703703704,83.85185185185186,62.22222222222222,45.03703703703704,70.66666666666667,71.55555555555554,66.81481481481481,73.48148148148148,73.0074074074074
Persona_Driven_prompting,84.74074074074073,84.74074074074073,79.25925925925927,83.7037037037037,58.81481481481482,43.7037037037037,67.25925925925927,71.25925925925925,64.88888888888889,70.51851851851852,70.88888888888889
